EventId,EventTemplate,Occurrences
54f007d7,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_<*>_none_681aa442f6fed7f0\cbscore.dll,1
1de9457d,Initializing online with Windows opt-in: False,1
55281f1f,Cleaning up report files older than <*> days.,1
c8d1544d,Requesting upload of all unsent reports.,1
4a11e901,"Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",1
c3b6eb68,Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],1
d86336e0,"Queued <*> file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x<*>",1
de9c1624,Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],1
33a1836a,Checking to ensure startup processing was not required.,1
e1a3d9c3,"Success, startup processing not required as expected.",1
288bb143,30546173_<*> initialized by client WindowsUpdateAgent.,2
046ec491,Unrecognized packageExtended attribute.,9
